"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Bra029071","PF04969","PTHR12356","KOG2265","","","AT5G53400.1","BOB1","HSP20-like chaperones superfamily protein"
"Bra029073","PF07724,PF07728,PF00004,PF10431","PTHR11262","KOG0745","","K03544","AT5G53350.1","CLPX","CLP protease regulatory subunit X"
"Bra029099","PF00561","PTHR10992","KOG4178","","","AT5G53050.2","","alpha/beta-Hydrolases superfamily protein"
"Bra029107","PF00403","PTHR22814","KOG1603","","","AT5G52760.1","","Copper transport protein family"
"Bra029140","PF01113,PF05173","PTHR20836","","1.3.1.26","K00215","AT5G52100.1","crr1","Dihydrodipicolinate reductase, bacterial/plant"
"Bra029167","PF00338","PTHR11700","KOG0900","","K02969","AT3G45030.1","","Ribosomal protein S10p/S20e family protein"
"Bra029193","PF02861,PF00004,PF07724,PF07728,PF10431","PTHR11638","KOG1051","","","AT5G51070.1","CLPD,ERD1,SAG15","Clp ATPase"
"Bra029256","PF03134","PTHR12300","","","","AT5G62490.1","ATHVA22B,HVA22B","HVA22 homologue B"
"Bra029289","","","","","","AT5G62090.1","SLK2","SEUSS-like 2"
"Bra029355","PF00682","PTHR10277","KOG2367","","","AT5G23010.1","IMS3,MAM1","methylthioalkylmalate synthase 1"
"Bra029427","PF06697","","","","","AT4G11950.1","","Protein of unknown function (DUF1191)"
"Bra029486","","","","","","AT4G04190.1","",""
"Bra029493","PF04117","PTHR11266","","","","AT4G04470.1","PMP22","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein"
"Bra029515","PF00083,PF07690","PTHR11600","KOG0254","","","AT4G04750.1","","Major facilitator superfamily protein"
"Bra029591","","","","","","AT3G06600.1","",""
"Bra029603","PF05605","","","","","AT3G06760.1","","Drought-responsive family protein"
"Bra029620","","","","","","AT3G07080.1","","EamA-like transporter family"
"Bra029642","PF04564,PF05804,PF00514","PTHR22849","","","","AT3G07360.1","ATPUB9,PUB9","plant U-box 9"
"Bra029649","PF00234","","","","","AT3G07450.1","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"Bra029697","PF09279,PF00388,PF00387,PF00168","PTHR10336","KOG0169","3.1.4.11","K05857","AT3G08510.1","ATPLC2,PLC2","phospholipase C 2"
"Bra029751","PF00139","","","","","AT3G09190.1","","Concanavalin A-like lectin family protein"
"Bra029780","PF00573","PTHR19431","KOG1475","","K02930","AT3G09630.1","","Ribosomal protein L4/L1 family"
"Bra029802","PF00023","PTHR18958","KOG4214","","","AT3G09890.1","","Ankyrin repeat family protein"
"Bra029853","","","","","","AT3G10572.1","","3-phosphoinositide-dependent protein kinase-1, putative"
"Bra029857","PF00833,PF00293","PTHR10732","KOG0187","","","AT3G10620.1","ATNUDX26,NUDX26","nudix hydrolase homolog 26"
"Bra029859","PF00069,PF07714,PF00036","PTHR22982","KOG0032","2.7.11.1","K13412","AT3G10660.1","ATCPK2,CPK2","calmodulin-domain protein kinase cdpk isoform 2"
"Bra029871","PF00561,PF06821","PTHR10992","KOG1454","","","AT3G10840.1","","alpha/beta-Hydrolases superfamily protein"
"Bra029922","PF02861,PF00004,PF07728,PF02151,PF00158,PF07724,PF10431","PTHR11638","KOG1051","","K03696","AT3G48870.1","ATCLPC,ATHSP93-III,HSP93-III","Clp ATPase"
"Bra029923","","PTHR23125","","","","AT3G48880.1","","RNI-like superfamily protein"
"Bra029966","PF01063","PTHR11825","KOG0975","2.6.1.42","K00826","AT3G49680.1","ATBCAT-3,BCAT3","branched-chain aminotransferase 3"
"Bra029986","PF00069,PF07714","PTHR11295","KOG0668","2.7.11.1","K03097","AT3G50000.1","ATCKA2,CKA2","casein kinase II, alpha chain 2"
"Bra030031","PF00479,PF02781","PTHR23429","KOG0563","1.1.1.49","K00036","AT1G24280.1","G6PD3","glucose-6-phosphate dehydrogenase 3"
"Bra030064","PF00232","PTHR10353","KOG0626","","","AT4G22100.1","BGLU3","beta glucosidase 2"
"Bra030082","PF05678","","","","","AT1G28280.2","","VQ motif-containing protein"
"Bra030092","PF00579","PTHR11946","KOG2144","","","AT1G28350.1","","Nucleotidylyl transferase superfamily protein"
"Bra030181","PF00504","PTHR21649","","","","AT1G29930.1","AB140,CAB1,CAB140,LHCB1.3","chlorophyll A/B binding protein 1"
"Bra030220","PF07173","","","","","AT2G22660.2","","Protein of unknown function (duplicated DUF1399)"
"Bra030228","PF00319,PF01486","PTHR11945","KOG0014","","","AT2G22540.1","AGL22,SVP","K-box region and MADS-box transcription factor family protein"
"Bra030256","PF02358","PTHR10788","","","","AT2G22190.1","","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein"
"Bra030292","PF03297","PTHR12850","KOG1767","","K02975","AT4G39200.1","","Ribosomal protein S25 family protein"
"Bra030306","PF05368,PF01370,PF07993,PF08338","PTHR11092","KOG3019","","K07071","AT2G21280.1","ATSULA,GC1,SULA","NAD(P)-binding Rossmann-fold superfamily protein"
"Bra030316","PF00121","PTHR21139","KOG1643","5.3.1.1","K01803","AT2G21170.1","PDTPI,TIM","triosephosphate isomerase"
"Bra030317","PF03896","PTHR12924","KOG1631","","","AT2G21160.1","","Translocon-associated protein (TRAP), alpha subunit"
"Bra030319","PF01190","PTHR23201","","","","AT2G21140.1","ATPRP2,PRP2","proline-rich protein 2"
"Bra030331","PF04193","PTHR13131","KOG2913","","K12386","AT5G40670.1","","PQ-loop repeat family protein / transmembrane family protein"
"Bra030388","PF00400,PF04053","PTHR19876","KOG0276","","","AT1G52360.1","","Coatomer, beta\' subunit"
"Bra030446","PF01554","PTHR11206","KOG1347","","","AT1G51340.2","","MATE efflux family protein"
"Bra030486","PF04100,PF10475","PTHR12820","KOG2180","","","AT1G50500.1","ATVPS53,HIT1,VPS53","Membrane trafficking VPS53 family protein"
"Bra030540","PF00106,PF08659","PTHR19410","KOG1208","1.3.1.33","K00218","AT1G03630.1","POR C,PORC","protochlorophyllide oxidoreductase C"
"Bra030561","PF03208","PTHR19317","KOG3142","","","AT1G04260.1","MPI7,MPIP7,PRA1.D","CAMV movement protein interacting protein 7"
"Bra030576","PF02736,PF00063,PF01843","PTHR13140","KOG0160","","","AT1G04600.1","ATXIA,XIA","myosin XI A"
"Bra030585","PF02421,PF08477,PF01926,PF06858,PF08155","PTHR11702","KOG1490","","K06943","AT1G50920.1","","Nucleolar GTP-binding protein"
"Bra030587","","","","","","AT1G04730.1","CTF18","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"Bra030622","PF00560,PF07714,PF00069","PTHR23258","KOG1187","","","AT1G05700.1","","Leucine-rich repeat transmembrane protein kinase protein"
"Bra030732","PF00140,PF04542,PF04539,PF04545","","","","","AT1G08540.1","ABC1,ATSIG1,ATSIG2,SIG1,SIG2,SIGA,SIGB","RNApolymerase sigma subunit 2"
"Bra030762","PF02541,PF01966","","","","","AT1G09195.2","",""
"Bra030786","PF01105","PTHR22811","KOG1691","","","AT1G09580.1","","emp24/gp25L/p24 family/GOLD family protein"
"Bra030790","PF02798,PF00043,PF00647","PTHR11260","KOG1627","","K03233","AT1G09640.1","","Translation elongation factor EF1B, gamma chain"
"Bra030791","PF00013","PTHR11208","KOG1588","","","AT1G09660.1","","RNA-binding KH domain-containing protein"
"Bra030799","PF01676,PF06415","","KOG4513","5.4.2.1","K01834","AT1G09780.1","","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent"
"Bra030808","PF03381","PTHR10926","KOG2952","","","AT1G54320.1","","LEM3 (ligand-effect modulator 3) family protein / CDC50 family protein"
"Bra030843","PF01241","","","","K08905","AT1G55670.1","PSAG","photosystem I subunit G"
"Bra030856","PF02779,PF02780","PTHR11624","KOG0525","1.2.4.4","K00167","AT1G55510.1","BCDH BETA1","branched-chain alpha-keto acid decarboxylase E1 beta subunit"
"Bra030858","PF00118","PTHR11353","KOG0356","","","AT1G55490.1","CPN60B,LEN1","chaperonin 60 beta"
"Bra030879","","","","","","AT1G55205.2","",""
"Bra030885","","","","","","AT1G55140.1","","Ribonuclease III family protein"
"Bra030908","PF00076","PTHR10432","KOG0148","","","AT1G54080.1","UBP1A","oligouridylate-binding protein 1A"
"Bra030922","PF00004,PF07724","PTHR23073","KOG0729","","K03061","AT1G53750.1","RPT1A","regulatory particle triple-A 1A"
"Bra030984","PF02383","PTHR11200","KOG1888","","","AT1G17340.1","","Phosphoinositide phosphatase family protein"
"Bra031011","PF05978,PF07690","PTHR23294","KOG3098","","","AT1G18010.1","","Major facilitator superfamily protein"
"Bra031093","PF01778","PTHR10544","KOG3412","","K02903","AT2G19730.1","","Ribosomal L28e protein family"
"Bra031146","PF00847","","","","","AT2G20880.1","","Integrase-type DNA-binding superfamily protein"
"Bra031158","PF01490","PTHR22950","KOG1303","","K13946","AT2G21050.1","LAX2","like AUXIN RESISTANT 2"
"Bra031165","PF04921","PTHR12722","KOG2894","","K13119","AT2G21150.1","XCT","XAP5 family protein"
"Bra031182","PF01554","PTHR11206","KOG1347","","","AT2G21340.1","","MATE efflux family protein"
"Bra031222","PF00067","PTHR19383","KOG0157","","","AT2G21910.1","CYP96A5","cytochrome P450, family 96, subfamily A, polypeptide 5"
"Bra031261","","","","","","AT3G21200.1","PGR7","proton gradient regulation 7"
"Bra031272","PF05958,PF05175,PF01170,PF09445,PF03602","PTHR11061","KOG2187","2.1.1.-","K00599","AT3G21300.1","","RNA methyltransferase family protein"
"Bra031290","PF00201","PTHR11926","KOG1192","","","AT3G21560.1","UGT84A2","UDP-Glycosyltransferase superfamily protein"
"Bra031296","PF01554","PTHR11206","KOG1347","","","AT3G21690.1","","MATE efflux family protein"
"Bra031330","PF03101,PF10551","","","","","AT3G22170.1","FHY3","far-red elongated hypocotyls 3"
"Bra031351","PF01786","","","1.-.-.-","K00540","AT3G22370.1","AOX1A,ATAOX1A","alternative oxidase 1A"
"Bra031389","PF01474","PTHR21337","","2.5.1.54","K01626","AT1G22410.1","","Class-II DAHP synthetase family protein"
"Bra031413","PF00010","","","","","AT1G61660.1","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"Bra031490","","","","","","AT1G60650.1","","RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain"
"Bra031522","PF08060,PF01798,PF09785","PTHR13904","KOG2574","","K12844","AT1G60170.1","emb1220","pre-mRNA processing ribonucleoprotein binding region-containing protein"
"Bra031623","PF00786,PF00620,PF06058","PTHR23177","KOG2868","","","AT1G08370.1","ATDCP1,DCP1","decapping 1"
"Bra031640","PF06075","","","","","AT1G08760.1","","Plant protein of unknown function (DUF936)"
"Bra031705","PF00289,PF02786,PF08443,PF02222,PF07478,PF02785","PTHR18866","","6.3.4.14,6.4.1.2","K01961","AT5G35360.1","CAC2","acetyl Co-enzyme a carboxylase biotin carboxylase subunit"
"Bra031785","PF01571,PF08669","PTHR13847","KOG2770","2.1.2.10","K00605","AT1G11860.1","","Glycine cleavage T-protein family"
"Bra031802","PF00378","PTHR11941","KOG1684","3.1.2.4","K05605","AT5G65940.1","CHY1","beta-hydroxyisobutyryl-CoA hydrolase 1"
"Bra031869","","","","","","AT5G65250.1","",""
"Bra031898","PF00005","PTHR19211","KOG0927","","","AT5G64840.1","ATGCN5,GCN5","general control non-repressible 5"
"Bra031961","PF00069,PF07714","PTHR11909","KOG1164","","","AT3G03940.1","","Protein kinase family protein"
"Bra032011","","","","","","AT3G03170.1","",""
"Bra032061","PF00643,PF06203","","KOG1601","","","AT2G24790.1","ATCOL3,COL3","CONSTANS-like 3"
"Bra032062","PF00025,PF09439,PF04670,PF00071,PF08477,PF00503","PTHR11711","KOG0070","","K07942","AT2G24765.1","ARF3,ARL1,ATARL1","ADP-ribosylation factor 3"
"Bra032082","PF00076,PF00098","PTHR10548","KOG0107","","","AT2G24590.1","","RNA recognition motif and CCHC-type zinc finger domains containing protein"
"Bra032101","PF00318","PTHR11489","KOG0830","","","AT1G72370.1","AP40,P40,RP40,RPSAA","40s ribosomal protein SA"
"Bra032109","PF05577,PF00561","PTHR11010","KOG2183","3.4.16.2","K01285","AT2G24280.1","","alpha/beta-Hydrolases superfamily protein"
"Bra032122","PF01632","","","","","AT2G24090.1","","Ribosomal protein L35"
"Bra032124","PF05198,PF00707","PTHR10938","","","K02520","AT2G24060.1","","Translation initiation factor 3 protein"
"Bra032134","PF00026","PTHR13683","KOG1339","","","AT2G23945.1","","Eukaryotic aspartyl protease family protein"
"Bra032137","PF01073,PF05368,PF01370","PTHR10366","KOG1502","","","AT2G23910.1","","NAD(P)-binding Rossmann-fold superfamily protein"
"Bra032147","PF07526,PF05920,PF00046","PTHR11850","","","","AT2G23760.1","BLH4,SAW2","BEL1-like homeodomain 4"
"Bra032166","PF00503","PTHR10218","KOG0082","","","AT2G23460.1","ATXLG1,XLG1","extra-large G-protein 1"
"Bra032191","PF07716,PF00170","PTHR13301:SF7","","","","AT1G43700.1","SUE3,VIP1","VIRE2-interacting protein 1"
"Bra032192","","","","","","AT1G43850.1","SEU","SEUSS transcriptional co-regulator"
"Bra032196","PF00025,PF00071,PF08477,PF04670","PTHR11708","KOG0080","","K07910","AT1G43890.1","ATRAB-C1,ATRAB18,ATRABC1,RAB18,RAB18-1,RABC1","RAB GTPASE HOMOLOG B18"
"Bra032210","PF00179","PTHR11621","KOG0427","","","AT1G45050.1","ATUBC2-1,UBC15","Ubiquitin-conjugating enzyme family protein"
"Bra032255","PF05542","","","","","AT1G48450.1","","Protein of unknown function (DUF760)"
"Bra032284","PF00501","PTHR11968","KOG1256","6.2.1.3","K01897","AT1G49430.1","LACS2,LRD2","long-chain acyl-CoA synthetase 2"
"Bra032332","PF00560,PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT1G29720.1","","Leucine-rich repeat transmembrane protein kinase"
"Bra032344","PF00289,PF02786,PF02787,PF02222,PF07478,PF02142","PTHR11405","KOG0370","6.3.5.5","K01955","AT1G29900.1","CARB","carbamoyl phosphate synthetase B"
"Bra032366","PF00736","PTHR11595","KOG1668","","K03232","AT2G18110.1","","Translation elongation  factor EF1B/ribosomal protein S6 family protein"
"Bra032392","PF01453,PF00954,PF08276,PF12398,PF00069,PF07714,PF11883,PF04499,PF00403","PTHR23258","KOG2073","","","AT1G30470.3","","SIT4 phosphatase-associated family protein"
"Bra032416","PF02364","","KOG0916","2.4.1.-","K11000","AT1G06490.1","ATGSL07,atgsl7,gsl07","glucan synthase-like 7"
"Bra032484","","","","","","AT1G05065.1","CLE20","CLAVATA3/ESR-RELATED 20"
"Bra032540","PF00462","PTHR10168","KOG1752","","","AT1G03850.2","","Glutaredoxin family protein"
"Bra032548","PF00583,PF08445","PTHR23091","KOG3139","","","AT1G03650.1","","Acyl-CoA N-acyltransferases (NAT) superfamily protein"
"Bra032551","PF07765","","","","","AT1G03470.1","","Kinase interacting (KIP1-like) family protein"
"Bra032617","PF00892","","","","","AT1G01070.1","","nodulin MtN21 /EamA-like transporter family protein"
"Bra032681","PF00450","PTHR11802","KOG1282","3.4.16.5","K13289","AT4G12910.1","scpl20","serine carboxypeptidase-like 20"
"Bra032697","PF00106,PF08659","PTHR19410","KOG0725","1.1.1.294","K13606","AT4G13250.1","NYC1","NAD(P)-binding Rossmann-fold superfamily protein"
"Bra032727","PF01471","","","","","AT4G13670.1","PTAC5","plastid transcriptionally active 5"
"Bra032734","PF00067","PTHR19383","KOG0156","","","AT4G13770.1","CYP83A1,REF2","cytochrome P450, family 83, subfamily A, polypeptide 1"
"Bra032952","PF00300","PTHR23029","KOG0234","","","AT3G26780.1","","Phosphoglycerate mutase family protein"
"Bra032954","","PTHR23125","KOG1947","","","AT3G26810.1","AFB2","auxin signaling F-box 2"
"Bra032981","PF10539","PTHR23230","","","","AT3G27090.1","","DCD (Development and Cell Death) domain protein"
"Bra033012","PF07039,PF00400","PTHR19877","KOG0643","","K03246","AT2G46290.1","","Transducin/WD40 repeat-like superfamily protein"
"Bra033056","PF00067","PTHR19383","KOG0156","","","AT3G28740.1","CYP81D1","Cytochrome P450 superfamily protein"
"Bra033103","","PTHR15744","","","","AT3G29390.1","RIK","RS2-interacting KH protein"
"Bra033172","PF03141,PF08241","PTHR10108:SF26","","","","AT4G10440.1","","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"Bra033195","PF00862,PF00534,PF05116","PTHR12526","KOG0853","2.4.1.14","K00696","AT4G10120.1","ATSPS4F","Sucrose-phosphate synthase family protein"
"Bra033199","PF12215,PF04685","PTHR12654","KOG2119","","","AT4G10060.1","","Beta-glucosidase, GBA2 type family protein"
"Bra033218","PF02893","PTHR23319","KOG1032","","","AT1G02120.1","VAD1","GRAM domain family protein"
"Bra033224","PF01535","PTHR10483","","","","AT1G01970.1","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"Bra033248","PF00230","PTHR19139","KOG0223","","K09872","AT4G00430.1","PIP1;4,PIP1E,TMP-C","plasma membrane intrinsic protein 1;4"
"Bra033249","PF01553","","","2.3.1.15","K13508","AT1G01610.1","ATGPAT4,GPAT4","glycerol-3-phosphate acyltransferase 4"
"Bra033254","PF05633","","","","","AT1G01550.1","BPS1","Protein of unknown function (DUF793)"
"Bra033255","PF07714,PF00069","PTHR23258","KOG1187","","","AT1G01540.2","","Protein kinase superfamily protein"
"Bra033282","PF00069,PF07714,PF03822","PTHR22982","KOG0583","","","AT1G01140.1","CIPK9,PKS6,SnRK3.12","CBL-interacting protein kinase 9"
"Bra033311","PF03193,PF04548,PF01926","PTHR10903","","","","AT1G02280.1","ATTOC33,PPI1,TOC33","translocon at the outer envelope membrane of chloroplasts 33"
"Bra033323","PF01553","","","2.3.1.15","K13508","AT1G02390.1","ATGPAT2,GPAT2","glycerol-3-phosphate acyltransferase 2"
"Bra033346","PF01280","PTHR10722","KOG1696","","","AT3G16780.1","","Ribosomal protein L19e family protein"
"Bra033368","PF00010","","","","","AT1G03040.1","","basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"Bra033373","PF01027","PTHR23291","KOG2322","","","AT1G03070.1","","Bax inhibitor-1 family protein"
"Bra033389","","","","","","AT1G03320.1","",""
"Bra033402","PF01218","PTHR10755","KOG1518","1.3.3.3","K00228","AT1G03475.1","ATCPO-I,HEMF1,LIN2","Coproporphyrinogen III oxidase"
"Bra033412","","","","","","AT1G03600.1","PSB27","photosystem II family protein"
"Bra033413","PF05623","","","","","AT1G03610.1","","Protein of unknown function (DUF789)"
"Bra033415","PF00106,PF08659","PTHR19410","KOG1208","1.3.1.33","K00218","AT1G03630.1","POR C,PORC","protochlorophyllide oxidoreductase C"
"Bra033422","PF00179","PTHR11621","KOG0896","","K10704","AT3G52560.1","MMZ4,UEV1D,UEV1D-4","ubiquitin E2 variant 1D-4"
"Bra033438","PF00076","PTHR10432","KOG0131","","","AT3G52380.1","CP33,PDE322","chloroplast RNA-binding protein 33"
"Bra033442","PF05873","PTHR12700","KOG3366","3.6.3.14","K02138","AT3G52300.1","ATPQ","ATP synthase D chain, mitochondrial"
"Bra033451","PF00076","PTHR10432","KOG0131","","","AT3G52150.1","","RNA-binding (RRM/RBD/RNP motifs) family protein"
"Bra033467","PF00036","PTHR10891","KOG0027","","K13448","AT3G51920.1","ATCML9,CAM9,CML9","calmodulin 9"
"Bra033472","PF01086","PTHR10639","","","","AT3G51890.1","","Clathrin light chain protein"
"Bra033473","PF00153","PTHR11896","KOG0752","","","AT3G51870.1","","Mitochondrial substrate carrier family protein"
"Bra033483","PF00378","PTHR11941","","","","AT4G14440.1","ATECI3,ECI3,HCD1","3-hydroxyacyl-CoA dehydratase 1"
"Bra033489","PF00069,PF07714,PF07189","PTHR22985","KOG0605","","","AT4G14350.3","","AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"
"Bra033491","PF00935","PTHR10369","KOG3464","","K02929","AT4G14320.1","","Zinc-binding ribosomal protein family protein"
"Bra033493","","","","","","AT4G15545.1","",""
"Bra033540","PF07992,PF01134,PF00070,PF02852","PTHR22912","KOG1335","1.8.1.4","K00382","AT4G16155.1","","dihydrolipoyl dehydrogenases"
"Bra033545","PF08246,PF00112","PTHR12411","KOG1542","3.4.22.-","K01376","AT4G16190.1","","Papain family cysteine protease"
"Bra033578","PF01657,PF00069,PF07714","PTHR23258","KOG1187","","","AT4G38830.1","CRK26","cysteine-rich RLK (RECEPTOR-like protein kinase) 26"
"Bra033597","PF00225","PTHR16012","KOG0242","","","AT4G39050.1","","Kinesin motor family protein"
"Bra033644","PF02545","PTHR11746","KOG1509","","","AT5G42770.2","","Maf-like protein"
"Bra033657","PF08246,PF00112,PF00396","PTHR12411","KOG1543","3.4.22.-","K01376","AT5G43060.1","","Granulin repeat cysteine protease family protein"
"Bra033706","PF08240,PF00107","PTHR11695","KOG0022","1.1.1.1,1.1.1.284","K00121","AT5G43940.1","ADH2,ATGSNOR1,GSNOR,HOT5,PAR2","GroES-like zinc-binding dehydrogenase family protein"
"Bra033735","PF05091","PTHR12399","KOG2479","","K03251","AT5G44320.1","","Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)"
"Bra033746","PF04321,PF00106,PF01370,PF02719,PF01073,PF07993","PTHR10366","KOG1371","5.1.3.5","K12448","AT5G44480.1","DUR","NAD(P)-binding Rossmann-fold superfamily protein"
"Bra033747","PF06026","PTHR11934","KOG3075","5.3.1.6","K01807","AT5G44520.1","","NagB/RpiA/CoA transferase-like superfamily protein"
"Bra033757","","","","","","AT5G44650.1","AtCEST,CEST",""
"Bra033802","PF05368","PTHR10366","KOG1203","","","AT3G46780.1","PTAC16","plastid transcriptionally active 16"
"Bra033820","PF04564,PF00514,PF05804","PTHR22849","","","","AT3G46510.1","ATPUB13,PUB13","plant U-box 13"
"Bra033832","PF00225","PTHR16012","KOG0243","","","AT3G45850.1","","P-loop containing nucleoside triphosphate hydrolases superfamily protein"
"Bra033837","PF00335","","KOG3882","","","AT3G45600.1","TET3","tetraspanin3"
"Bra033840","PF12171","PTHR11389","","","","AT3G45260.1","","C2H2-like zinc finger protein"
"Bra033871","PF01502,PF01503,PF03819","PTHR21256","KOG4311","3.5.4.19,3.6.1.31","K11755","AT1G31860.1","AT-IE,HISN2","histidine biosynthesis bifunctional protein (HISIE)"
"Bra033879","PF02201","PTHR13844","","","","AT1G31760.1","","SWIB/MDM2 domain superfamily protein"
"Bra033911","PF00504","PTHR14154","","","","AT3G22840.1","ELIP,ELIP1","Chlorophyll A-B binding family protein"
"Bra033958","PF11721,PF07714,PF00069","PTHR23258","KOG1187","","","AT1G56130.1","","Leucine-rich repeat transmembrane protein kinase"
"Bra033968","PF01596","PTHR10509","KOG1663","","","AT1G67980.1","CCOAMT","caffeoyl-CoA 3-O-methyltransferase"
"Bra033973","","","","","","AT1G67870.1","","glycine-rich protein"
"Bra033981","","PTHR21290","KOG3058","","","AT1G43580.1","","Sphingomyelin synthetase family protein"
"Bra033999","PF00237","PTHR11593","KOG3353","","K02880","AT1G67430.1","","Ribosomal protein L22p/L17e family protein"
"Bra034063","","","","","","AT3G09290.1","TAC1","telomerase activator1"
"Bra034144","PF00249","","","","","AT3G10760.1","","Homeodomain-like superfamily protein"
"Bra034179","PF00646,PF01344","PTHR23230","","","","AT4G03030.1","","Galactose oxidase/kelch repeat superfamily protein"
"Bra034254","PF00646","PTHR23125","KOG2120","","K14515","AT2G25490.1","EBF1,FBL6","EIN3-binding F box protein 1"
"Bra034271","PF00230","PTHR19139","KOG0223","","K09873","AT2G25810.1","TIP4;1","tonoplast intrinsic protein 4;1"
"Bra034297","PF00023","PTHR18958","","","","AT2G26210.1","","Ankyrin repeat family protein"
"Bra034298","PF08392,PF08541,PF02797","","","","","AT2G26250.1","FDH,KCS10","3-ketoacyl-CoA synthase 10"
"Bra034309","PF00561","PTHR10992","KOG4178","","","AT2G26740.1","ATSEH,SEH","soluble epoxide hydrolase"
"Bra034356","PF00561,PF00687","PTHR23105","KOG1570","","","AT1G08310.1","","alpha/beta-Hydrolases superfamily protein"
"Bra034364","","","","","","AT2G27730.1","","copper ion binding"
"Bra034383","PF00118","PTHR11353","KOG0356","","","AT2G28000.1","CH-CPN60A,CPN60A,SLP","chaperonin-60alpha"
"Bra034404","PF00560,PF07714,PF00069","PTHR23258","KOG1187","","","AT4G08850.1","","Leucine-rich repeat receptor-like protein kinase family protein"
"Bra034432","PF00481,PF07228","PTHR13832","KOG0698","","","AT1G34750.1","","Protein phosphatase 2C family protein"
"Bra034441","PF02516","PTHR13872","KOG2292","","","AT1G34130.1","STT3B","staurosporin and temperature sensitive 3-like b"
"Bra034459","PF00657","PTHR22835:SF27","","","","AT1G33811.1","","GDSL-like Lipase/Acylhydrolase superfamily protein"
"Bra034466","PF01507,PF00085","PTHR18929","KOG0189","1.8.4.9","K05907","AT1G62180.1","APR2,APSR,ATAPR2,PRH,PRH43","5\'adenylylphosphosulfate reductase 2"
"Bra034556","PF05659,PF00931,PF00560","PTHR23155","KOG4658","","","AT4G33300.1","ADR1-L1","ADR1-like 1"
"Bra034573","PF00097,PF00484","PTHR11002","KOG1578","4.2.1.1","K01673","AT4G33580.1","ATBCA5,BCA5","beta carbonic anhydrase 5"
"Bra034580","PF00155,PF00248","PTHR11751","KOG0257","2.6.1.83","K10206","AT4G33680.1","AGD2","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein"
"Bra034589","","PTHR23283:SF37","","","","AT1G27320.1","AHK3,HK3","histidine kinase 3"
"Bra034620","PF02401","","","1.17.1.2","K03527","AT4G34350.1","CLB6,HDR,ISPH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"Bra034643","PF01015","PTHR11830","KOG1628","","K02984","AT4G34670.1","","Ribosomal protein S3Ae"
"Bra034674","PF00199,PF06628","PTHR11465","KOG0047","1.11.1.6","K03781","AT4G35090.1","CAT2","catalase 2"
"Bra034710","PF04146","PTHR12357","KOG1901","","","AT3G13060.2","ECT5","evolutionarily conserved C-terminal region 5"
"Bra034758","PF00022","PTHR11937","KOG0676","","K11672","AT3G12380.1","ARP5,ATARP5","actin-related protein 5"
"Bra034800","PF00582","","","","","AT3G11930.2","","Adenine nucleotide alpha hydrolases-like superfamily protein"
"Bra034815","PF06876","","","","","AT3G11720.3","","Polyketide cyclase/dehydrase and lipid transport superfamily protein"
"Bra034828","PF02362","","","","","AT3G11580.1","","AP2/B3-like transcriptional factor family protein"
"Bra034834","PF01423","PTHR10553","KOG1780","","K11099","AT3G11500.1","","Small nuclear ribonucleoprotein family protein"
"Bra034873","PF01169","PTHR12608","KOG2881","","","AT4G13590.1","","Uncharacterized protein family (UPF0016)"
"Bra034897","PF04526,PF03188","PTHR23130","KOG4293","","","AT4G12980.1","","Auxin-responsive family protein"
"Bra034917","PF00282","PTHR11999","KOG0629","4.1.1.22","K01590","AT1G43710.1","emb1075","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein"
"Bra034989","PF02221","","KOG4680","","","AT3G44100.1","","MD-2-related lipid recognition domain-containing protein"
"Bra035008","PF05450,PF04389","","KOG2526","","","AT3G44330.1","",""
"Bra035009","PF03004,PF04810,PF04811,PF08033,PF04815,PF00626","PTHR13803","KOG1984","","","AT3G44340.1","CEF","clone eighty-four"
"Bra035022","PF00560","PTHR10588","","","","AT1G78230.1","","Outer arm dynein light chain 1 protein"
"Bra035049","PF00982,PF02358","PTHR10788","KOG1050","","","AT1G78580.1","ATTPS1,TPS1","trehalose-6-phosphate synthase"
"Bra035067","PF01453,PF08276","","","","","AT1G78830.1","","Curculin-like (mannose-binding) lectin family protein"
"Bra035095","PF07540,PF03914","PTHR14428","KOG2153","","","AT1G79150.1","","binding"
"Bra035101","PF00581","PTHR11364","KOG1529","2.8.1.1,2.8.1.2","K01011","AT1G79230.1","ATMST1,ATRDH1,MST1,ST1,STR1","mercaptopyruvate sulfurtransferase 1"
